Date,Location,New Cases,New Deaths,New Recovered,Island,Area (km2),Population,Population Density,New Cases per Million,Total Cases per Million,New Deaths per Million,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
3/1/2020,DKI Jakarta,2,0,0,Jawa,664,10846145,16334.31,0.18,3.6,0,0.5128,1.9231,,
3/2/2020,DKI Jakarta,2,0,0,Jawa,664,10846145,16334.31,0.18,3.78,0,0.4878,1.8293,1,1
3/2/2020,Riau,1,0,0,Sumatera,87024,6074100,69.8,0.16,0.16,0,0,1,,
3/3/2020,DKI Jakarta,2,0,0,Jawa,664,10846145,16334.31,0.18,3.96,0,0.4651,1.7442,1,1
3/3/2020,Jawa Barat,1,1,0,Jawa,35378,45161325,1276.55,0.02,0.02,0.02,1,60,,
3/3/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,0,1
3/4/2020,DKI Jakarta,2,0,0,Jawa,664,10846145,16334.31,0.18,4.15,0,0.4444,1.6667,1,1
3/4/2020,Jawa Barat,1,0,0,Jawa,35378,45161325,1276.55,0.02,0.04,0,0.5,30,1,0
3/4/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/5/2020,DKI Jakarta,0,1,0,Jawa,664,10846145,16334.31,0,4.15,0.09,0.4667,1.6667,0,
3/5/2020,Jawa Barat,1,0,0,Jawa,35378,45161325,1276.55,0.02,0.07,0,0.3333,20,1,1
3/5/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/6/2020,Banten,1,0,1,Jawa,9663,10722374,1109.64,0.09,0.09,0,5,111,,
3/6/2020,DKI Jakarta,0,0,0,Jawa,664,10846145,16334.31,0,4.15,0,0.4667,1.6667,1,0
3/6/2020,Jawa Barat,1,0,0,Jawa,35378,45161325,1276.55,0.02,0.09,0,0.25,15,1,1
3/6/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/7/2020,Banten,0,0,0,Jawa,9663,10722374,1109.64,0,0.09,0,5,111,0,1
3/7/2020,DKI Jakarta,0,2,0,Jawa,664,10846145,16334.31,0,4.15,0.18,0.5111,1.6667,1,
3/7/2020,Jawa Barat,0,0,0,Jawa,35378,45161325,1276.55,0,0.09,0,0.25,15,0,1
3/7/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/8/2020,Banten,1,0,3,Jawa,9663,10722374,1109.64,0.09,0.19,0,2.5,57,,1
3/8/2020,DKI Jakarta,0,0,0,Jawa,664,10846145,16334.31,0,4.15,0,0.5111,1.6667,1,0
3/8/2020,Jawa Barat,0,0,0,Jawa,35378,45161325,1276.55,0,0.09,0,0.25,15,1,1
3/8/2020,Jawa Tengah,1,1,0,Jawa,32801,36364072,1108.64,0.03,0.03,0.03,10,11,,
3/8/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/9/2020,Banten,0,0,0,Jawa,9663,10722374,1109.64,0,0.19,0,2.5,57,0,1
3/9/2020,DKI Jakarta,0,1,0,Jawa,664,10846145,16334.31,0,4.15,0.09,0.5333,1.6667,1,
3/9/2020,Jawa Barat,0,0,0,Jawa,35378,45161325,1276.55,0,0.09,0,0.25,15,1,1
3/9/2020,Jawa Tengah,0,0,0,Jawa,32801,36364072,1108.64,0,0.03,0,10,11,0,0
3/9/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/10/2020,Banten,0,0,8,Jawa,9663,10722374,1109.64,0,0.19,0,2.5,61,1,1
3/10/2020,DKI Jakarta,0,0,0,Jawa,664,10846145,16334.31,0,4.15,0,0.5333,1.6667,1,0
3/10/2020,Jawa Barat,0,0,0,Jawa,35378,45161325,1276.55,0,0.09,0,0.25,15,1,1
3/10/2020,Jawa Tengah,0,0,0,Jawa,32801,36364072,1108.64,0,0.03,0,10,11,1,1
3/10/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/10/2020,Sulawesi Tenggara,1,0,0,Sulawesi,38068,2635461,69.23,0.38,0.38,0,0,0,,
3/11/2020,Bali,1,1,0,Nusa Tenggara,5780,4216171,729.43,0.24,0.24,0.24,1,3,,
3/11/2020,Banten,0,0,8,Jawa,9663,10722374,1109.64,0,0.19,0,2.5,65,1,1
3/11/2020,DKI Jakarta,0,0,0,Jawa,664,10846145,16334.31,0,4.15,0,0.5333,1.6667,1,1
3/11/2020,Jawa Barat,0,1,0,Jawa,35378,45161325,1276.55,0,0.09,0.02,0.5,15,1,
3/11/2020,Jawa Tengah,2,1,1,Jawa,32801,36364072,1108.64,0.05,0.08,0.03,3.6667,4,,
3/11/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/11/2020,Sulawesi Tenggara,0,0,0,Sulawesi,38068,2635461,69.23,0,0.38,0,0,0,0,1
3/12/2020,Bali,0,0,0,Nusa Tenggara,5780,4216171,729.43,0,0.24,0,1,3,0,0
3/12/2020,Banten,0,1,2,Jawa,9663,10722374,1109.64,0,0.19,0.09,3,66,1,
3/12/2020,DKI Jakarta,2,1,4,Jawa,664,10846145,16334.31,0.18,4.33,0.09,0.5319,1.6809,,
3/12/2020,Jawa Barat,1,0,0,Jawa,35378,45161325,1276.55,0.02,0.11,0,0.4,12,,0
3/12/2020,Jawa Tengah,0,0,0,Jawa,32801,36364072,1108.64,0,0.08,0,3.6667,4,0,0
3/12/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/12/2020,Sulawesi Tenggara,0,0,0,Sulawesi,38068,2635461,69.23,0,0.38,0,0,0,1,1
3/13/2020,Bali,0,0,0,Nusa Tenggara,5780,4216171,729.43,0,0.24,0,1,3,1,1
3/13/2020,Banten,1,1,0,Jawa,9663,10722374,1109.64,0.09,0.28,0.09,2.3333,44,,1
3/13/2020,DKI Jakarta,4,1,3,Jawa,664,10846145,16334.31,0.37,4.7,0.09,0.5098,1.6078,2,1
3/13/2020,Jawa Barat,4,0,1,Jawa,35378,45161325,1276.55,0.09,0.2,0,0.2222,6.7778,4,1
3/13/2020,Jawa Tengah,0,0,0,Jawa,32801,36364072,1108.64,0,0.08,0,3.6667,4,1,1
3/13/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/13/2020,Sulawesi Tenggara,0,0,0,Sulawesi,38068,2635461,69.23,0,0.38,0,0,0,1,1
3/14/2020,Bali,0,0,0,Nusa Tenggara,5780,4216171,729.43,0,0.24,0,1,3,1,1
3/14/2020,Banten,1,0,2,Jawa,9663,10722374,1109.64,0.09,0.37,0,1.75,33.5,1,0
3/14/2020,DKI Jakarta,2,1,1,Jawa,664,10846145,16334.31,0.18,4.89,0.09,0.5094,1.566,0.5,1
3/14/2020,Jawa Barat,0,0,0,Jawa,35378,45161325,1276.55,0,0.2,0,0.2222,6.7778,0,1
3/14/2020,Jawa Tengah,2,0,1,Jawa,32801,36364072,1108.64,0.05,0.14,0,2.2,2.6,,1
3/14/2020,Kalimantan Timur,3,0,0,Kalimantan,129067,3552191,27.52,0.84,0.84,0,0,1,,
3/14/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/14/2020,Sulawesi Tenggara,0,0,0,Sulawesi,38068,2635461,69.23,0,0.38,0,0,0,1,1
3/15/2020,Bali,0,0,0,Nusa Tenggara,5780,4216171,729.43,0,0.24,0,1,3,1,1
3/15/2020,Banten,1,0,5,Jawa,9663,10722374,1109.64,0.09,0.47,0,1.4,27.8,1,1
3/15/2020,DKI Jakarta,8,3,0,Jawa,664,10846145,16334.31,0.74,5.62,0.28,0.4918,1.3607,4,3
3/15/2020,Jawa Barat,0,0,2,Jawa,35378,45161325,1276.55,0,0.2,0,0.2222,7,1,1
3/15/2020,Jawa Tengah,1,0,1,Jawa,32801,36364072,1108.64,0.03,0.16,0,1.8333,2.3333,0.5,1
3/15/2020,Kalimantan Timur,2,0,0,Kalimantan,129067,3552191,27.52,0.56,1.41,0,0,0.6,0.67,1
3/15/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/15/2020,Sulawesi Tenggara,0,0,0,Sulawesi,38068,2635461,69.23,0,0.38,0,0,0,1,1
3/16/2020,Bali,0,0,0,Nusa Tenggara,5780,4216171,729.43,0,0.24,0,1,3,1,1
3/16/2020,Banten,1,0,4,Jawa,9663,10722374,1109.64,0.09,0.56,0,1.1667,23.8333,1,1
3/16/2020,DKI Jakarta,2,3,0,Jawa,664,10846145,16334.31,0.18,5.81,0.28,0.5238,1.3175,0.25,1
3/16/2020,Daerah Istimewa Yogyakarta,1,0,0,Jawa,3133,3631015,1158.9,0.28,0.28,0,0,2,,
3/16/2020,Jawa Barat,0,0,2,Jawa,35378,45161325,1276.55,0,0.2,0,0.2222,7.2222,1,1
3/16/2020,Jawa Tengah,1,0,0,Jawa,32801,36364072,1108.64,0.03,0.19,0,1.5714,2,1,1
3/16/2020,Kalimantan Timur,1,0,0,Kalimantan,129067,3552191,27.52,0.28,1.69,0,0,0.5,0.5,1
3/16/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/16/2020,Sulawesi Tenggara,2,0,0,Sulawesi,38068,2635461,69.23,0.76,1.14,0,0,0,,1
3/17/2020,Bali,0,0,0,Nusa Tenggara,5780,4216171,729.43,0,0.24,0,1,3,1,1
3/17/2020,Banten,0,1,3,Jawa,9663,10722374,1109.64,0,0.56,0.09,1.3333,24.3333,0,
3/17/2020,DKI Jakarta,2,1,0,Jawa,664,10846145,16334.31,0.18,5.99,0.09,0.5231,1.2769,1,0.33
3/17/2020,Daerah Istimewa Yogyakarta,0,0,0,Jawa,3133,3631015,1158.9,0,0.28,0,0,2,0,1
